# Run complete. Total time: 01:20:33

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt   Score    Error  Units
ArraysSort.Float.testParallelSort       100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Float.testParallelSort      1000    RANDOM  avgt    4   0.047 ±  0.001  ms/op
ArraysSort.Float.testParallelSort      1000  REPEATED  avgt    4   0.006 ±  0.001  ms/op
ArraysSort.Float.testParallelSort      1000   STAGGER  avgt    4   0.007 ±  0.001  ms/op
ArraysSort.Float.testParallelSort      1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Float.testParallelSort     10000    RANDOM  avgt    4   0.412 ±  0.005  ms/op
ArraysSort.Float.testParallelSort     10000  REPEATED  avgt    4   0.065 ±  0.001  ms/op
ArraysSort.Float.testParallelSort     10000   STAGGER  avgt    4   0.061 ±  0.002  ms/op
ArraysSort.Float.testParallelSort     10000   SHUFFLE  avgt    4   0.213 ±  0.004  ms/op
ArraysSort.Float.testParallelSort    100000    RANDOM  avgt    4   3.126 ±  0.023  ms/op
ArraysSort.Float.testParallelSort    100000  REPEATED  avgt    4   0.616 ±  0.006  ms/op
ArraysSort.Float.testParallelSort    100000   STAGGER  avgt    4   0.589 ±  0.028  ms/op
ArraysSort.Float.testParallelSort    100000   SHUFFLE  avgt    4   1.353 ±  0.037  ms/op
ArraysSort.Float.testParallelSort   1000000    RANDOM  avgt    4  31.800 ±  0.656  ms/op
ArraysSort.Float.testParallelSort   1000000  REPEATED  avgt    4   4.027 ±  0.047  ms/op
ArraysSort.Float.testParallelSort   1000000   STAGGER  avgt    4   4.823 ±  0.109  ms/op
ArraysSort.Float.testParallelSort   1000000   SHUFFLE  avgt    4  12.160 ±  0.150  ms/op
ArraysSort.Float.testSort               100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Float.testSort               100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Float.testSort               100   STAGGER  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Float.testSort               100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Float.testSort              1000    RANDOM  avgt    4   0.047 ±  0.001  ms/op
ArraysSort.Float.testSort              1000  REPEATED  avgt    4   0.006 ±  0.001  ms/op
ArraysSort.Float.testSort              1000   STAGGER  avgt    4   0.006 ±  0.001  ms/op
ArraysSort.Float.testSort              1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Float.testSort             10000    RANDOM  avgt    4   0.636 ±  0.006  ms/op
ArraysSort.Float.testSort             10000  REPEATED  avgt    4   0.057 ±  0.001  ms/op
ArraysSort.Float.testSort             10000   STAGGER  avgt    4   0.067 ±  0.001  ms/op
ArraysSort.Float.testSort             10000   SHUFFLE  avgt    4   0.285 ±  0.003  ms/op
ArraysSort.Float.testSort            100000    RANDOM  avgt    4   7.907 ±  0.096  ms/op
ArraysSort.Float.testSort            100000  REPEATED  avgt    4   0.689 ±  0.003  ms/op
ArraysSort.Float.testSort            100000   STAGGER  avgt    4   0.653 ±  0.007  ms/op
ArraysSort.Float.testSort            100000   SHUFFLE  avgt    4   3.000 ±  0.033  ms/op
