--- Running JMH ---
ArraysSort: PARALLELISM = 3

...

# Run complete. Total time: 03:15:17

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt    Score    Error  Units
Main.Char.newSort                   1000000    RANDOM  avgt    4    3,135 ±  0,032  ms/op
Main.Char.newSort                   1000000  REPEATED  avgt    4    1,105 ±  0,011  ms/op
Main.Char.newSort                   1000000   STAGGER  avgt    4    1,542 ±  0,018  ms/op
Main.Char.newSort                   1000000   SHUFFLE  avgt    4    1,409 ±  0,031  ms/op

Main.Char.testSort                     1000    RANDOM  avgt    4    0,055 ±  0,001  ms/op
Main.Char.testSort                     1000  REPEATED  avgt    4    0,006 ±  0,001  ms/op
Main.Char.testSort                     1000   STAGGER  avgt    4    0,022 ±  0,002  ms/op
Main.Char.testSort                     1000   SHUFFLE  avgt    4    0,030 ±  0,001  ms/op
Main.Char.testSort                    10000    RANDOM  avgt    4    0,244 ±  0,003  ms/op
Main.Char.testSort                    10000  REPEATED  avgt    4    0,060 ±  0,013  ms/op
Main.Char.testSort                    10000   STAGGER  avgt    4    0,079 ±  0,035  ms/op
Main.Char.testSort                    10000   SHUFFLE  avgt    4    0,086 ±  0,004  ms/op
Main.Char.testSort                   100000    RANDOM  avgt    4    1,055 ±  0,067  ms/op
Main.Char.testSort                   100000  REPEATED  avgt    4    0,198 ±  0,002  ms/op
Main.Char.testSort                   100000   STAGGER  avgt    4    0,305 ±  0,033  ms/op
Main.Char.testSort                   100000   SHUFFLE  avgt    4    0,311 ±  0,070  ms/op
Main.Char.testSort                  1000000    RANDOM  avgt    4    3,122 ±  0,001  ms/op
Main.Char.testSort                  1000000  REPEATED  avgt    4    1,103 ±  0,024  ms/op
Main.Char.testSort                  1000000   STAGGER  avgt    4    1,540 ±  0,030  ms/op
Main.Char.testSort                  1000000   SHUFFLE  avgt    4    1,406 ±  0,019  ms/op


Main.Double.newParallelSort            1000    RANDOM  avgt    4    0,040 ±  0,001  ms/op
Main.Double.newParallelSort            1000  REPEATED  avgt    4    0,021 ±  0,001  ms/op
Main.Double.newParallelSort            1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Double.newParallelSort            1000   SHUFFLE  avgt    4    0,026 ±  0,001  ms/op
Main.Double.newParallelSort           10000    RANDOM  avgt    4    0,337 ±  0,024  ms/op
Main.Double.newParallelSort           10000  REPEATED  avgt    4    0,100 ±  0,005  ms/op
Main.Double.newParallelSort           10000   STAGGER  avgt    4    0,079 ±  0,005  ms/op
Main.Double.newParallelSort           10000   SHUFFLE  avgt    4    0,149 ±  0,011  ms/op
Main.Double.newParallelSort          100000    RANDOM  avgt    4    2,442 ±  0,049  ms/op
Main.Double.newParallelSort          100000  REPEATED  avgt    4    0,632 ±  0,036  ms/op
Main.Double.newParallelSort          100000   STAGGER  avgt    4    0,612 ±  0,021  ms/op
Main.Double.newParallelSort          100000   SHUFFLE  avgt    4    1,009 ±  0,048  ms/op
Main.Double.newParallelSort         1000000    RANDOM  avgt    4   25,362 ±  1,183  ms/op
Main.Double.newParallelSort         1000000  REPEATED  avgt    4    5,262 ±  0,106  ms/op
Main.Double.newParallelSort         1000000   STAGGER  avgt    4    5,876 ±  0,101  ms/op
Main.Double.newParallelSort         1000000   SHUFFLE  avgt    4   11,009 ±  0,184  ms/op

Main.Double.testParallelSort           1000    RANDOM  avgt    4    0,062 ±  0,001  ms/op
Main.Double.testParallelSort           1000  REPEATED  avgt    4    0,009 ±  0,001  ms/op
Main.Double.testParallelSort           1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Double.testParallelSort           1000   SHUFFLE  avgt    4    0,033 ±  0,001  ms/op
Main.Double.testParallelSort          10000    RANDOM  avgt    4    0,531 ±  0,003  ms/op
Main.Double.testParallelSort          10000  REPEATED  avgt    4    0,088 ±  0,001  ms/op
Main.Double.testParallelSort          10000   STAGGER  avgt    4    0,082 ±  0,005  ms/op
Main.Double.testParallelSort          10000   SHUFFLE  avgt    4    0,289 ±  0,004  ms/op
Main.Double.testParallelSort         100000    RANDOM  avgt    4    3,993 ±  0,048  ms/op
Main.Double.testParallelSort         100000  REPEATED  avgt    4    0,851 ±  0,046  ms/op
Main.Double.testParallelSort         100000   STAGGER  avgt    4    0,730 ±  0,018  ms/op
Main.Double.testParallelSort         100000   SHUFFLE  avgt    4    1,781 ±  0,015  ms/op
Main.Double.testParallelSort        1000000    RANDOM  avgt    4   42,358 ±  0,670  ms/op
Main.Double.testParallelSort        1000000  REPEATED  avgt    4    5,908 ±  0,039  ms/op
Main.Double.testParallelSort        1000000   STAGGER  avgt    4    6,319 ±  0,073  ms/op
Main.Double.testParallelSort        1000000   SHUFFLE  avgt    4   16,307 ±  0,355  ms/op

Main.Double.newSort                    1000    RANDOM  avgt    4    0,040 ±  0,001  ms/op
Main.Double.newSort                    1000  REPEATED  avgt    4    0,021 ±  0,001  ms/op
Main.Double.newSort                    1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Double.newSort                    1000   SHUFFLE  avgt    4    0,027 ±  0,001  ms/op
Main.Double.newSort                   10000    RANDOM  avgt    4    0,499 ±  0,003  ms/op
Main.Double.newSort                   10000  REPEATED  avgt    4    0,159 ±  0,001  ms/op
Main.Double.newSort                   10000   STAGGER  avgt    4    0,084 ±  0,003  ms/op
Main.Double.newSort                   10000   SHUFFLE  avgt    4    0,232 ±  0,003  ms/op
Main.Double.newSort                  100000    RANDOM  avgt    4    6,370 ±  0,177  ms/op
Main.Double.newSort                  100000  REPEATED  avgt    4    0,655 ±  0,003  ms/op
Main.Double.newSort                  100000   STAGGER  avgt    4    0,815 ±  0,015  ms/op
Main.Double.newSort                  100000   SHUFFLE  avgt    4    2,638 ±  0,049  ms/op
Main.Double.newSort                 1000000    RANDOM  avgt    4   65,316 ±  1,311  ms/op
Main.Double.newSort                 1000000  REPEATED  avgt    4    6,201 ±  0,040  ms/op
Main.Double.newSort                 1000000   STAGGER  avgt    4    8,525 ±  0,100  ms/op
Main.Double.newSort                 1000000   SHUFFLE  avgt    4   32,661 ±  0,531  ms/op

Main.Double.testSort                   1000    RANDOM  avgt    4    0,062 ±  0,001  ms/op
Main.Double.testSort                   1000  REPEATED  avgt    4    0,009 ±  0,001  ms/op
Main.Double.testSort                   1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Double.testSort                   1000   SHUFFLE  avgt    4    0,033 ±  0,001  ms/op
Main.Double.testSort                  10000    RANDOM  avgt    4    0,828 ±  0,012  ms/op
Main.Double.testSort                  10000  REPEATED  avgt    4    0,077 ±  0,001  ms/op
Main.Double.testSort                  10000   STAGGER  avgt    4    0,082 ±  0,004  ms/op
Main.Double.testSort                  10000   SHUFFLE  avgt    4    0,373 ±  0,002  ms/op
Main.Double.testSort                 100000    RANDOM  avgt    4   10,324 ±  0,080  ms/op
Main.Double.testSort                 100000  REPEATED  avgt    4    0,939 ±  0,008  ms/op
Main.Double.testSort                 100000   STAGGER  avgt    4    0,791 ±  0,011  ms/op
Main.Double.testSort                 100000   SHUFFLE  avgt    4    3,822 ±  0,060  ms/op
Main.Double.testSort                1000000    RANDOM  avgt    4  124,939 ±  0,095  ms/op
Main.Double.testSort                1000000  REPEATED  avgt    4    7,414 ±  0,066  ms/op
Main.Double.testSort                1000000   STAGGER  avgt    4    8,674 ±  0,384  ms/op
Main.Double.testSort                1000000   SHUFFLE  avgt    4   41,682 ±  0,190  ms/op


Main.Float.newParallelSort             1000    RANDOM  avgt    4    0,020 ±  0,001  ms/op
Main.Float.newParallelSort             1000  REPEATED  avgt    4    0,012 ±  0,001  ms/op
Main.Float.newParallelSort             1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Float.newParallelSort             1000   SHUFFLE  avgt    4    0,024 ±  0,001  ms/op
Main.Float.newParallelSort            10000    RANDOM  avgt    4    0,251 ±  0,005  ms/op
Main.Float.newParallelSort            10000  REPEATED  avgt    4    0,090 ±  0,003  ms/op
Main.Float.newParallelSort            10000   STAGGER  avgt    4    0,072 ±  0,003  ms/op
Main.Float.newParallelSort            10000   SHUFFLE  avgt    4    0,134 ±  0,005  ms/op
Main.Float.newParallelSort           100000    RANDOM  avgt    4    1,593 ±  0,028  ms/op
Main.Float.newParallelSort           100000  REPEATED  avgt    4    0,601 ±  0,014  ms/op
Main.Float.newParallelSort           100000   STAGGER  avgt    4    0,533 ±  0,007  ms/op
Main.Float.newParallelSort           100000   SHUFFLE  avgt    4    0,802 ±  0,035  ms/op
Main.Float.newParallelSort          1000000    RANDOM  avgt    4   15,282 ±  0,584  ms/op
Main.Float.newParallelSort          1000000  REPEATED  avgt    4    4,270 ±  0,081  ms/op
Main.Float.newParallelSort          1000000   STAGGER  avgt    4    4,240 ±  0,117  ms/op
Main.Float.newParallelSort          1000000   SHUFFLE  avgt    4    7,758 ±  0,248  ms/op

Main.Float.testParallelSort            1000    RANDOM  avgt    4    0,063 ±  0,001  ms/op
Main.Float.testParallelSort            1000  REPEATED  avgt    4    0,009 ±  0,001  ms/op
Main.Float.testParallelSort            1000   STAGGER  avgt    4    0,008 ±  0,001  ms/op
Main.Float.testParallelSort            1000   SHUFFLE  avgt    4    0,033 ±  0,001  ms/op
Main.Float.testParallelSort           10000    RANDOM  avgt    4    0,530 ±  0,002  ms/op
Main.Float.testParallelSort           10000  REPEATED  avgt    4    0,090 ±  0,001  ms/op
Main.Float.testParallelSort           10000   STAGGER  avgt    4    0,077 ±  0,003  ms/op
Main.Float.testParallelSort           10000   SHUFFLE  avgt    4    0,291 ±  0,006  ms/op
